car id, gps track, state, track idx, time, calculated speed, real speed, dst to end, distance, point x, point y, normalized x, normalized y, dst to projection
9,*,start,1,0.0,-1.0,0.0,14548,0,5837931.5,447929.84,7,0,14
9,-,running,2,0.7,9.4,?,14540,7,5837934.5,447936.7,10,7,?
9,-,running,3,1.9,9.4,?,14529,18,5837924.5,447933.0,0,3,?
9,-,running,4,3.4,9.4,?,14515,32,5837910.0,447933.25,-14,3,?
9,-,running,5,4.9,9.4,?,14501,46,5837896.5,447936.28,-27,6,?
9,-,running,6,5.9,9.4,?,14491,56,5837890.5,447944.22,-33,14,?
9,-,running,7,7.2,9.4,?,14480,67,5837895.5,447954.4,-28,25,?
9,-,running,8,8.3,9.4,?,14469,78,5837902.0,447963.25,-22,33,?
9,*,running,9,10.0,9.4,18.61,14454,94,5837912.0,447974.84,-12,45,14
9,-,running,10,10.6,23.5,?,14438,109,5837922.0,447986.72,-2,57,?
9,-,running,11,11.2,23.5,?,14424,124,5837933.0,447996.1,9,66,?
9,-,running,12,11.9,23.5,?,14407,140,5837947.0,448004.97,23,75,?
9,-,running,13,12.5,23.5,?,14393,154,5837959.5,448011.3,35,81,?
9,-,running,14,13.1,23.5,?,14380,167,5837971.5,448016.03,47,86,?
9,-,running,15,13.8,23.5,?,14364,184,5837987.0,448021.75,63,92,?
9,-,running,16,14.4,23.5,?,14348,199,5838001.5,448026.25,77,96,?
9,-,running,17,14.9,23.5,?,14336,211,5838013.0,448029.94,89,100,?
9,-,running,18,15.5,23.5,?,14323,225,5838026.0,448034.53,102,105,?
9,-,running,19,16.2,23.5,?,14307,240,5838040.5,448039.62,116,110,?
9,-,running,20,16.8,23.5,?,14292,256,5838055.0,448045.25,131,115,?
9,-,running,21,17.4,23.5,?,14280,268,5838066.0,448050.25,142,120,?
9,-,running,22,17.9,23.5,?,14267,280,5838077.5,448055.97,153,126,?
9,-,running,23,18.5,23.5,?,14253,294,5838091.0,448059.56,167,130,?
9,-,running,24,19.1,23.5,?,14239,309,5838104.5,448063.72,180,134,?
9,-,running,25,19.7,23.5,?,14225,322,5838118.0,448067.28,194,137,?
9,-,running,26,20.4,23.5,?,14209,339,5838133.5,448071.44,209,142,?
9,-,running,27,20.9,23.5,?,14197,350,5838144.5,448074.06,220,144,?
9,-,running,28,21.7,23.5,?,14178,369,5838163.5,448071.56,239,142,?
9,-,running,29,22.2,23.5,?,14166,381,5838169.0,448061.22,245,131,?
9,-,running,30,22.7,23.5,?,14154,394,5838169.0,448048.38,245,119,?
9,-,running,31,23.4,23.5,?,14138,409,5838167.0,448033.22,243,103,?
9,-,running,32,24.1,23.5,?,14122,425,5838164.5,448017.16,240,87,?
9,-,running,33,24.7,23.5,?,14106,441,5838162.0,448001.6,238,72,?
9,-,running,34,25.4,23.5,?,14091,456,5838160.5,447986.44,236,57,?
9,-,running,35,26.1,23.5,?,14075,472,5838160.0,447970.4,236,41,?
9,-,running,36,26.8,23.5,?,14057,490,5838161.5,447952.78,237,23,?
9,-,running,37,27.6,23.5,?,14038,509,5838163.0,447933.8,239,4,?
9,-,running,38,28.4,23.5,?,14019,528,5838164.5,447914.56,240,-14,?
9,-,running,39,29.2,23.5,?,14001,546,5838166.5,447896.94,242,-32,?
9,*,running,40,30.0,23.5,32.37,13984,564,5838169.5,447879.53,245,-49,4
9,-,running,41,30.7,28.09,?,13964,583,5838175.0,447860.53,251,-68,?
9,-,running,42,31.0,28.09,?,13953,594,5838178.5,447850.8,254,-78,?
9,-,running,43,31.7,28.09,?,13933,614,5838184.5,447831.62,260,-97,?
9,-,running,44,32.4,28.09,?,13914,633,5838189.0,447813.03,265,-116,?
9,-,running,45,33.1,28.09,?,13895,652,5838194.0,447794.97,270,-134,?
9,-,running,46,33.7,28.09,?,13877,670,5838198.5,447776.88,274,-152,?
9,-,running,47,34.4,28.09,?,13858,689,5838203.5,447759.16,279,-170,?
9,-,running,48,35.0,28.09,?,13841,706,5838207.0,447742.03,283,-187,?
9,-,running,49,35.6,28.09,?,13824,723,5838206.0,447725.34,282,-204,?
9,-,running,50,36.2,28.09,?,13807,740,5838200.0,447708.84,276,-220,?
9,-,running,51,36.9,28.09,?,13787,760,5838190.5,447691.84,266,-237,?
9,-,running,52,37.6,28.09,?,13768,779,5838182.0,447674.3,258,-255,?
9,-,running,53,38.3,28.09,?,13748,799,5838176.0,447655.2,252,-274,?
9,-,running,54,38.7,28.09,?,13737,810,5838173.5,447644.88,249,-284,?
9,-,running,55,39.1,28.09,?,13726,821,5838171.0,447634.03,247,-295,?
9,-,running,56,39.5,28.09,?,13714,833,5838169.0,447622.78,245,-306,?
9,*,running,57,40.0,28.09,30.75,13703,844,5838167.0,447611.1,243,-318,4
9,-,running,58,40.6,20.13,?,13690,857,5838164.5,447598.97,240,-330,?
9,-,running,59,41.2,20.13,?,13678,869,5838162.5,447586.62,238,-342,?
9,-,running,60,41.8,20.13,?,13666,881,5838160.5,447574.72,236,-354,?
9,-,running,61,42.3,20.13,?,13654,893,5838158.5,447563.6,234,-365,?
9,-,running,62,42.8,20.13,?,13644,903,5838156.5,447553.78,232,-375,?
9,-,running,63,43.6,20.13,?,13630,917,5838152.5,447539.7,228,-389,?
9,-,running,64,44.1,20.13,?,13620,927,5838143.0,447537.88,219,-391,?
9,-,running,65,44.7,20.13,?,13608,940,5838143.0,447550.3,219,-379,?
9,-,running,66,45.3,20.13,?,13594,953,5838146.0,447563.06,222,-366,?
9,-,running,67,46.2,20.13,?,13576,971,5838146.5,447581.25,222,-348,?
9,-,running,68,46.7,20.13,?,13566,981,5838145.5,447591.38,221,-337,?
9,-,running,69,47.3,20.13,?,13555,992,5838143.0,447601.9,219,-327,?
9,-,running,70,47.8,20.13,?,13544,1003,5838139.5,447612.53,215,-316,?
9,-,running,71,48.4,20.13,?,13533,1014,5838135.5,447622.97,211,-306,?
9,-,running,72,49.0,20.13,?,13521,1026,5838130.5,447633.4,206,-295,?
9,-,running,73,49.5,20.13,?,13510,1037,5838126.5,447643.84,202,-285,?
9,-,running,74,50.1,20.13,?,13499,1048,5838122.0,447654.4,198,-274,?
9,-,running,75,50.6,20.13,?,13488,1059,5838119.0,447664.97,195,-264,?
9,-,running,76,51.2,20.13,?,13477,1070,5838116.5,447675.56,192,-253,?
9,-,running,77,51.7,20.13,?,13466,1081,5838115.5,447686.03,191,-243,?
9,-,running,78,52.7,20.13,?,13447,1100,5838111.0,447705.03,187,-224,?
9,-,running,79,53.5,20.13,?,13430,1117,5838100.5,447717.62,176,-211,?
9,-,running,80,54.2,20.13,?,13415,1132,5838088.0,447726.16,164,-203,?
9,-,running,81,55.1,20.13,?,13398,1149,5838075.0,447737.1,151,-192,?
9,-,running,82,56.0,20.13,?,13379,1168,5838063.0,447751.78,139,-177,?
9,-,running,83,56.5,20.13,?,13369,1178,5838057.5,447760.66,133,-168,?
9,-,running,84,57.0,20.13,?,13358,1189,5838053.0,447770.12,129,-159,?
9,-,running,85,57.6,20.13,?,13347,1200,5838048.5,447780.22,124,-149,?
9,-,running,86,58.1,20.13,?,13337,1210,5838045.0,447790.2,121,-139,?
9,-,running,87,59.1,20.13,?,13317,1230,5838036.0,447807.47,112,-121,?
9,*,running,88,60.0,20.13,19.16,13300,1247,5838025.0,447821.0,101,-108,5
9,-,running,89,60.8,17.43,?,13284,1263,5838009.5,447820.1,85,-109,?
9,-,running,90,61.6,17.43,?,13270,1277,5838004.0,447832.88,80,-96,?
9,-,running,91,62.2,17.43,?,13261,1286,5838008.0,447824.0,84,-105,?
9,-,running,92,62.8,17.43,?,13250,1297,5838012.0,447813.75,88,-115,?
9,-,running,93,63.8,17.43,?,13232,1315,5838017.0,447796.9,93,-132,?
9,-,running,94,64.8,17.43,?,13215,1332,5838016.5,447779.75,92,-149,?
9,-,running,95,65.4,17.43,?,13205,1342,5838015.0,447769.72,91,-159,?
9,-,running,96,66.0,17.43,?,13194,1353,5838012.5,447759.1,88,-170,?
9,-,running,97,66.7,17.43,?,13183,1364,5838010.0,447748.25,86,-181,?
9,-,running,98,67.3,17.43,?,13172,1375,5838008.0,447737.47,84,-191,?
9,-,running,99,67.9,17.43,?,13161,1386,5838007.5,447726.66,83,-202,?
9,-,running,100,68.6,17.43,?,13150,1397,5838007.5,447715.56,83,-213,?
9,-,running,101,69.2,17.43,?,13139,1408,5838008.0,447704.75,84,-224,?
9,-,running,102,69.8,17.43,?,13128,1419,5838009.0,447694.22,85,-235,?
9,-,running,103,70.4,17.43,?,13118,1429,5838011.0,447684.16,87,-245,?
9,-,running,104,70.9,17.43,?,13108,1439,5838013.0,447674.38,89,-254,?
9,-,running,105,72.0,17.43,?,13090,1458,5838017.0,447656.2,93,-273,?
9,-,running,106,73.0,17.43,?,13072,1476,5838018.5,447638.22,94,-291,?
9,-,running,107,74.0,17.43,?,13055,1492,5838020.5,447621.4,96,-307,?
9,-,running,108,75.0,17.43,?,13037,1510,5838026.0,447604.56,102,-324,?
9,-,running,109,75.9,17.43,?,13022,1526,5838036.0,447592.9,112,-336,?
9,-,running,110,76.6,17.43,?,13009,1538,5838044.5,447583.6,120,-345,?
9,-,running,111,77.2,17.43,?,12999,1548,5838046.5,447573.88,122,-355,?
9,-,running,112,77.9,17.43,?,12987,1560,5838040.5,447563.7,116,-365,?
9,-,running,113,78.9,17.43,?,12970,1577,5838026.0,447554.47,102,-374,?
9,*,running,114,80.0,17.43,21.42,12951,1596,5838010.5,447543.7,86,-385,5
9,-,running,115,80.7,25.11,?,12931,1616,5837997.0,447529.4,73,-399,?
9,-,running,116,81.1,25.11,?,12921,1626,5837991.0,447521.3,67,-408,?
9,-,running,117,81.6,25.11,?,12910,1637,5837985.5,447511.44,61,-417,?
9,-,running,118,82.1,25.11,?,12898,1649,5837980.0,447500.84,56,-428,?
9,-,running,119,82.6,25.11,?,12886,1661,5837974.0,447489.9,50,-439,?
9,-,running,120,83.0,25.11,?,12873,1674,5837968.5,447478.97,44,-450,?
9,-,running,121,83.5,25.11,?,12861,1686,5837963.5,447468.03,39,-461,?
9,-,running,122,84.0,25.11,?,12850,1697,5837958.5,447457.4,34,-471,?
9,-,running,123,84.5,25.11,?,12838,1709,5837953.5,447446.75,29,-482,?
9,-,running,124,84.9,25.11,?,12827,1721,5837949.0,447436.38,25,-492,?
9,-,running,125,85.7,25.11,?,12806,1741,5837941.0,447417.75,17,-511,?
9,-,running,126,86.3,25.11,?,12790,1757,5837937.0,447402.38,13,-526,?
9,-,running,127,86.8,25.11,?,12778,1769,5837936.5,447390.06,12,-539,?
9,-,running,128,87.4,25.11,?,12765,1782,5837938.0,447376.97,14,-552,?
9,-,running,129,87.9,25.11,?,12751,1796,5837939.5,447362.78,15,-566,?
9,-,running,130,88.7,25.11,?,12732,1815,5837939.5,447344.3,15,-585,?
9,-,running,131,89.4,25.11,?,12715,1832,5837939.0,447326.75,15,-602,?
9,*,running,132,90.0,25.11,15.62,12700,1847,5837940.5,447312.16,16,-617,0
9,-,running,133,90.6,20.77,?,12686,1861,5837949.0,447301.44,25,-627,?
9,-,running,134,91.4,20.77,?,12670,1877,5837964.0,447294.84,40,-634,?
9,-,running,135,92.2,20.77,?,12653,1894,5837980.5,447291.9,56,-637,?
9,-,running,136,93.1,20.77,?,12635,1912,5837998.5,447288.66,74,-640,?
9,-,running,137,93.9,20.77,?,12617,1930,5838015.5,447283.5,91,-645,?
9,-,running,138,94.8,20.77,?,12599,1948,5838032.5,447277.8,108,-651,?
9,-,running,139,95.6,20.77,?,12582,1965,5838049.0,447273.53,125,-655,?
9,-,running,140,96.2,20.77,?,12569,1978,5838061.5,447269.88,137,-659,?
9,-,running,141,96.7,20.77,?,12559,1988,5838067.5,447261.56,143,-667,?
9,-,running,142,97.3,20.77,?,12546,2001,5838061.5,447250.66,137,-678,?
9,-,running,143,98.1,20.77,?,12531,2016,5838048.5,447241.8,124,-687,?
9,-,running,144,99.1,20.77,?,12509,2038,5838030.5,447230.47,106,-698,?
9,-,running,145,99.6,20.77,?,12499,2048,5838021.5,447224.62,97,-704,?
9,-,running,146,100.2,20.77,?,12487,2060,5838011.5,447218.62,87,-710,?
9,-,running,147,100.8,20.77,?,12474,2073,5838000.5,447212.22,76,-717,?
9,-,running,148,101.4,20.77,?,12461,2086,5837989.0,447205.75,65,-723,?
9,-,running,149,102.1,20.77,?,12448,2099,5837977.5,447199.88,53,-729,?
9,-,running,150,102.7,20.77,?,12435,2112,5837965.5,447195.22,41,-734,?
9,-,running,151,103.3,20.77,?,12423,2125,5837953.5,447191.03,29,-738,?
9,-,running,152,103.9,20.77,?,12411,2137,5837942.0,447187.66,18,-741,?
9,-,running,153,104.4,20.77,?,12399,2148,5837930.5,447184.97,6,-744,?
9,-,running,154,105.0,20.77,?,12388,2160,5837919.5,447182.97,-4,-746,?
9,-,running,155,105.5,20.77,?,12377,2170,5837909.0,447181.75,-15,-747,?
9,-,running,156,106.0,20.77,?,12367,2181,5837898.5,447181.16,-25,-748,?
9,-,running,157,106.5,20.77,?,12356,2191,5837888.0,447181.53,-36,-747,?
9,-,running,158,107.0,20.77,?,12345,2202,5837877.5,447183.66,-46,-745,?
9,-,running,159,107.9,20.77,?,12327,2221,5837859.5,447188.78,-64,-740,?
9,-,running,160,108.6,20.77,?,12313,2234,5837846.0,447187.78,-78,-741,?
9,-,running,161,109.2,20.77,?,12300,2247,5837834.0,447183.03,-90,-746,?
9,*,running,162,110.0,20.77,19.16,12284,2263,5837821.5,447173.5,-102,-755,3
9,-,running,163,110.6,28.83,?,12266,2281,5837808.5,447160.47,-115,-768,?
9,-,running,164,111.3,28.83,?,12245,2302,5837795.5,447144.56,-128,-784,?
9,-,running,165,111.7,28.83,?,12235,2312,5837789.0,447136.25,-135,-793,?
9,-,running,166,112.0,28.83,?,12224,2323,5837782.5,447127.94,-141,-801,?
9,-,running,167,112.4,28.83,?,12213,2334,5837774.5,447119.53,-149,-809,?
9,-,running,168,112.8,28.83,?,12201,2346,5837767.0,447111.06,-157,-818,?
9,-,running,169,113.2,28.83,?,12190,2357,5837759.0,447102.72,-165,-826,?
9,-,running,170,113.7,28.83,?,12178,2370,5837749.5,447094.84,-174,-834,?
9,-,running,171,114.1,28.83,?,12165,2382,5837740.0,447087.2,-184,-842,?
9,-,running,172,114.5,28.83,?,12153,2394,5837730.0,447079.38,-194,-849,?
9,*,running,173,115.0,28.83,36.32,12140,2407,5837720.5,447071.4,-203,-857,7
9,-,running,174,115.5,25.23,?,12128,2420,5837710.5,447063.53,-213,-865,?
9,-,running,175,115.9,25.23,?,12115,2432,5837701.0,447055.78,-223,-873,?
