Car Id,Tramo Id,UTM Index,REAL Index,Car Time,Speed,Status,Utm X,Utm Y,Norm X,Norm Y,Avg Speed,Track Time,Distance,Remaining Distance,Error
8,0,7,7,5213,0.0,start,5837895,447954,-106,-71,-1.0,0,61,13496,277
8,0,36,26,5233,29.4,running,5838161,447952,160,-73,22.4,20,510,13047,12
8,0,52,38,5243,26.7,running,5838182,447674,180,-351,28.4,30,795,12762,8
8,0,83,67,5263,28.5,running,5838057,447760,56,-265,21.1,50,1217,12340,0
8,0,95,72,5273,23.5,running,5838015,447769,13,-256,11.2,60,1330,12227,10
8,0,129,99,5293,25.1,running,5837939,447362,-62,-663,21.6,80,1763,11794,5
8,0,141,110,5303,9.5,running,5838067,447261,66,-764,19.5,90,1959,11598,4
8,0,172,140,5320,36.0,running,5837730,447079,-271,-946,25.4,107,2392,11165,9
8,0,194,162,5334,21.1,running,5837632,446834,-369,-1192,22.5,121,2708,10849,6
8,0,241,208,5354,20.5,running,5838200,446739,199,-1287,32.1,141,3350,10207,2
8,0,260,224,5364,35.2,running,5838149,446597,148,-1429,22.1,151,3572,9986,4
8,0,309,274,5384,28.2,running,5837611,446358,-390,-1667,31.0,171,4192,9366,2
8,0,328,292,5394,32.9,running,5837360,446428,-641,-1597,26.2,181,4454,9103,9
8,0,356,319,5414,14.0,running,5837271,446129,-730,-1896,23.1,201,4917,8640,4
8,0,392,353,5434,20.1,running,5837613,446136,-388,-1889,24.7,221,5413,8144,0
8,0,419,380,5444,30.4,running,5837857,446328,-144,-1697,32.5,231,5739,7818,0
8,0,456,417,5459,49.0,running,5838355,446613,353,-1412,39.4,246,6330,7227,1
8,0,481,442,5473,15.0,running,5838362,446836,360,-1190,25.9,260,6693,6864,8
8,0,499,459,5493,33.0,running,5838727,446996,726,-1030,20.7,280,7109,6448,8
8,0,510,469,5503,24.6,running,5838908,447172,907,-853,25.9,290,7369,6188,6
8,0,545,500,5523,27.2,running,5839238,447175,1237,-850,27.9,310,7927,5630,6
8,0,569,520,5533,33.4,running,5839009,447339,1008,-686,29.1,320,8219,5338,1
8,0,621,554,5553,30.9,running,5839173,447820,1172,-205,29.7,340,8814,4743,0
8,0,653,578,5563,35.3,running,5839513,447606,1512,-419,38.8,350,9203,4355,6
8,0,699,620,5581,39.7,running,5839834,447909,1832,-116,35.7,368,9846,3711,15
8,0,727,644,5595,27.5,running,5839864,448233,1862,207,30.2,382,10269,3288,6
8,0,767,672,5616,20.7,running,5839483,448426,1482,400,22.3,403,10739,2818,9
8,0,835,719,5646,38.5,running,5839308,448762,1307,736,26.4,433,11534,2023,6
8,0,885,769,5666,21.2,running,5839853,448677,1851,651,36.8,453,12272,1286,5
8,0,915,796,5676,52.0,running,5839497,448871,1496,845,39.4,463,12666,891,2
8,0,967,841,5695,21.9,running,5838814,449054,812,1028,37.3,482,13376,181,4
8,0,1001,864,5706,51.7,running,5838412,449253,410,1226,41.6,493,13834,-275,2
8,0,1046,900,5726,25.2,ended,5838011,449633,10,1607,30.4,513,14442,-884,7
