Car Id,Tramo Id,UTM Index,Car Time,Speed,Status,Utm X,Utm Y,Norm X,Norm Y,Avg Speed,Track Time,Distance,Remaining Distance,Error
9,0,0,4605,0.0,start,5837924,447929,-276,220,-1.0,0,0,13313,13
9,0,1,4615,2.8,running,5837931,447929,-268,221,0.0,10,0,13313,5
9,0,9,4735,18.6,running,5837912,447974,-288,266,0.7,130,94,13219,14
9,0,40,4755,32.3,running,5838169,447879,-30,170,23.5,150,564,12749,4
9,0,57,4765,30.7,running,5838167,447611,-33,-97,28.0,160,844,12468,4
9,0,88,4785,19.1,running,5838025,447821,-175,112,20.1,180,1247,12065,5
9,0,114,4805,21.4,running,5838010,447543,-189,-165,17.4,200,1596,11717,5
9,0,132,4815,15.6,running,5837940,447312,-259,-396,25.1,210,1847,11466,0
9,0,162,4835,19.1,running,5837821,447173,-378,-535,20.7,230,2263,11050,3
9,0,173,4840,36.3,running,5837720,447071,-479,-637,28.8,235,2407,10906,7
9,0,216,4864,36.8,running,5837885,446710,-314,-998,25.2,259,3013,10300,0
9,0,243,4874,17.6,running,5838221,446742,21,-966,34.4,269,3357,9956,4
9,0,290,4894,25.2,running,5837818,446486,-382,-1222,28.9,289,3935,9377,1
9,0,311,4904,23.6,running,5837585,446346,-614,-1361,27.5,299,4211,9102,2
9,0,346,4924,27.9,running,5837238,446225,-961,-1483,26.9,319,4749,8564,0
9,0,358,4934,20.5,running,5837273,446153,-926,-1555,16.4,329,4913,8399,5
9,0,394,4954,24.9,running,5837641,446160,-558,-1548,25.5,349,5424,7888,4
9,0,421,4964,27.4,running,5837887,446349,-313,-1359,31.4,359,5739,7574,5
9,0,457,4978,47.9,running,5838363,446622,163,-1085,40.8,373,6310,7002,5
9,0,488,5002,31.5,running,5838526,446857,326,-851,21.6,397,6829,6483,2
9,0,500,5012,30.6,running,5838746,447003,546,-705,28.0,407,7110,6203,9
9,0,530,5032,32.7,running,5839188,447132,988,-576,27.9,427,7668,5645,5
9,0,545,5042,27.6,running,5839238,447175,1038,-533,19.9,437,7868,5445,9
9,0,592,5062,38.7,running,5838993,447570,793,-138,29.4,457,8457,4856,10
9,0,678,5092,22.6,running,5839776,447653,1576,-55,35.6,487,9527,3786,9
9,0,701,5101,40.6,running,5839845,447933,1645,224,32.7,496,9821,3492,12
9,0,752,5125,17.0,running,5839599,448329,1399,620,27.0,520,10470,2843,6
9,0,767,5135,22.3,running,5839483,448426,1283,717,19.5,530,10665,2648,5
9,0,813,5155,29.1,running,5839071,448700,871,991,28.3,550,11231,2081,0
9,0,836,5165,40.0,running,5839320,448760,1120,1051,29.3,560,11525,1788,2
9,0,885,5185,21.4,running,5839853,448677,1653,968,31.5,580,12156,1156,3
9,0,918,5196,52.8,running,5839459,448888,1259,1179,40.7,591,12605,708,5
9,0,967,5215,18.6,running,5838814,449054,614,1345,35.1,610,13273,40,5
9,0,1030,5236,18.2,running,5838185,449548,-15,1839,39.5,631,14104,-790,3
9,0,1044,5246,24.2,running,5838040,449649,-159,1940,19.0,641,14295,-981,6
9,0,1059,5256,25.6,running,5837848,449587,-351,1878,21.8,651,14513,-1199,3
9,0,1062,5276,13.3,ended,5837820,449567,-379,1858,1.7,671,14548,-1234,320
Car Id,Tramo Id,UTM Index,Car Time,Speed,Status,Utm X,Utm Y,Norm X,Norm Y,Avg Speed,Track Time,Distance,Remaining Distance,Error
9,0,0,4605,0.0,start,5837924,447929,-276,220,-1.0,0,0,13313,13
9,0,1,4615,2.8,running,5837931,447929,-268,221,0.0,10,0,13313,5
9,0,9,4735,18.6,running,5837912,447974,-288,266,0.7,130,94,13219,14
9,0,40,4755,32.3,running,5838169,447879,-30,170,23.5,150,564,12749,4
9,0,57,4765,30.7,running,5838167,447611,-33,-97,28.0,160,844,12468,4
9,0,88,4785,19.1,running,5838025,447821,-175,112,20.1,180,1247,12065,5
9,0,114,4805,21.4,running,5838010,447543,-189,-165,17.4,200,1596,11717,5
9,0,132,4815,15.6,running,5837940,447312,-259,-396,25.1,210,1847,11466,0
9,0,162,4835,19.1,running,5837821,447173,-378,-535,20.7,230,2263,11050,3
9,0,173,4840,36.3,running,5837720,447071,-479,-637,28.8,235,2407,10906,7
9,0,216,4864,36.8,running,5837885,446710,-314,-998,25.2,259,3013,10300,0
9,0,243,4874,17.6,running,5838221,446742,21,-966,34.4,269,3357,9956,4
9,0,311,4904,23.6,running,5837585,446346,-614,-1361,28.4,299,4211,9102,2
9,0,346,4924,27.9,running,5837238,446225,-961,-1483,26.9,319,4749,8564,0
