Car Id,Tramo Id,UTM Index,REAL Index,Car Time,Speed,Status,Utm X,Utm Y,Norm X,Norm Y,Avg Speed,Track Time,Distance,Remaining Distance,Error
22,1,0,1668,5976,0.0,start,5836375,448342,-1626,316,-1.0,0,22450,-9,15
22,1,1,1668,5996,0.0,running,5836366,448334,-1635,307,0.0,20,22450,-9,11
22,1,10,1668,6116,27.1,running,5836287,448403,-1714,376,0.0,140,22450,-9,3
22,1,55,1668,6136,22.9,running,5835964,448772,-2037,745,0.0,160,22450,-9,3
22,1,100,1668,6156,40.0,running,5836259,449201,-1742,1174,0.0,180,22450,-9,1
22,1,152,1668,6176,28.4,running,5836357,449719,-1644,1693,0.0,200,22450,-9,2
22,1,193,1668,6197,32.4,running,5836079,449602,-1922,1576,0.0,221,22450,-9,4
22,1,236,1668,6217,31.6,running,5835713,449682,-2288,1655,0.0,241,22450,-9,3
22,1,281,1668,6237,36.3,running,5835321,449719,-2680,1693,0.0,261,22450,-9,9
22,1,321,1668,6257,15.7,running,5835425,449341,-2576,1315,0.0,281,22450,-9,16
22,1,365,1668,6282,31.0,running,5835235,449097,-2766,1071,0.0,306,22450,-9,2
22,1,413,1668,6306,29.8,running,5835167,448721,-2834,695,0.0,330,22450,-9,5
22,1,468,1668,6326,45.4,running,5834715,448242,-3286,216,0.0,350,22450,-9,2
