Car Id,Tramo Id,UTM Index,REAL Index,Car Time,Speed,Status,Utm X,Utm Y,Norm X,Norm Y,Avg Speed,Track Time,Distance,Remaining Distance,Error
3,0,3,7,4470,0.0,start,5837924,447933,-77,-93,-1.0,0,61,13496,332
3,0,47,34,4520,21.5,running,5838203,447759,202,-267,12.2,50,672,12885,7
3,0,64,50,4530,6.7,running,5838143,447537,141,-488,27.9,60,951,12606,4
3,0,91,71,4550,6.9,running,5838008,447824,6,-202,16.3,80,1278,12279,4
3,0,124,96,4570,28.0,running,5837949,447436,-52,-589,21.2,100,1703,11854,2
3,0,137,107,4580,24.8,running,5838015,447283,14,-742,20.2,110,1906,11651,6
3,0,194,162,4614,21.4,running,5837632,446834,-369,-1192,23.5,144,2708,10849,1
3,0,214,181,4624,36.1,running,5837846,446714,-155,-1312,27.4,154,2983,10574,1
3,0,308,273,4664,30.6,running,5837621,446363,-380,-1663,29.9,194,4181,9376,2
3,0,458,419,4741,39.6,running,5838372,446632,370,-1394,28.2,271,6355,7202,6
3,0,488,448,4765,32.1,running,5838526,446857,524,-1169,20.6,295,6851,6706,5
3,0,500,460,4775,31.2,running,5838746,447003,745,-1022,27.7,305,7129,6429,6
3,0,544,499,4805,26.7,running,5839248,447160,1247,-865,25.6,335,7897,5660,6
3,0,591,538,4825,37.7,running,5838988,447558,986,-467,29.4,355,8486,5071,13
3,0,830,714,4928,33.4,running,5839247,448774,1245,748,29.0,458,11477,2080,5
3,0,905,786,4958,46.6,running,5839621,448808,1619,782,35.0,488,12528,1029,7
3,0,964,838,4978,9.5,running,5838850,449046,849,1020,40.5,508,13339,218,3
3,0,986,854,4988,44.9,running,5838568,449139,567,1113,29.9,518,13638,-80,5
3,0,1062,912,5028,19.2,ended,5837820,449567,-181,1540,25.0,558,14642,-1083,126
